003/Inst,001/BSN,OCLC number(s),245a/Title
UaCaAUL,b12815020,"318940906","Buṭūlat al-ūrṭah al-Sūdānīyah al-Miṣrīyah fī ḥarb al-Miksīk /"
UaCaAUL,b12838081,"60498822","Kitāb Sirr al-ʻālamayn wa-kashf mā fī al-dārayn /"
UaCaAUL,b12842175,"122983881","al-Ḥaḍārāt al-Miṣrīyah fī fajr al-tārīkh /"
UaCaAUL,b12858651,"122811978","Tārīkh Miṣr ilá al-fatḥ al-ʻUthmānī :"
UaCaAUL,b12866891,"80259763","Nawābigh al-Aqbāṭ wa-mashāhīrahum fī al-qarn al-tāsiʻ ʻashar /"
UaCaAUL,b1290451x,"19885465","Taḥrīr al-marʼah /"
UaCaAUL,b12906918,"16348964","al-Sūdān min al-tārīkh al-qadīm ilá riḥlat al-baʻthah al-miṣrīyah /"
UaCaAUL,b12906955,"1010483293","al-Nīl :"
UaCaAUL,b12906979,"122838997","Waḥy al-ghābah :"
UaCaAUL,b12910892,"606052718","al-Iskandarīyah :"
UaCaAUL,b12913285,"318941306","Taḥrīr Wādī al-Nīl /"
UaCaAUL,b12946540,"122986957","Ḥāḍir ṭarābuls al-gharb /"
UaCaAUL,b12967178,"122826478","al-Muʼtamar al-Thaqāfī al-ʻArabī al-awwal :"
UaCaAUL,b12991314,"60509892","al-Adab al-ṣaghīr /"
UaCaAUL,b12992227,"60509897","Kimyāʼ al-saʻādah /"
UaCaAUL,b12998941,"137222494","Fī al-masʼūlīyah al-jināʼīyah :"
UaCaAUL,b12999453,"60507087","Murshid al-ṭālibīn ilá tārīkh al-funūn al-jamīlah ʻinda qudamāʼ al-Miṣrīyīn /"
UaCaAUL,b13009503,"60499002","Ḥayāt al-Sharq :"
UaCaAUL,b1303859x,"60507119","Amālī Ibn al-Shajarī fī ādāb al-lughah al-ʻarabīyah /"
UaCaAUL,b13039246,"318941418","al-Muzʹhir fī ʻulūm al-lughah wa-anwāʻihā /"
UaCaAUL,b13041836,"60507121","Fiqh al-lughah /"
UaCaAUL,b13047620,"23510165","Ārā' fī al-qaḍīyah al-ʻArabīyah wa-dhikrayāt ʻanhā /"
UaCaAUL,b13095377,"60507176","al-Mūsīqá al-ʻArabīyah wa-aʻlāmahā :"
UaCaAUL,b13101912,"37209458","Isḥāq al-Mawṣili /"
UaCaAUL,b13106788,"60507194","Franz list /"
UaCaAUL,b13107677,"60507198","al-Ubrāt al-ʻālamīyah /"
UaCaAUL,b13109650,"68178623","Insān al-Jazīrah :"
UaCaAUL,b13112223,"22968212","al-Juzʼ al-awwal[-al-thānī] min kitāb al-amālī :"
UaCaAUL,b13127354,"37946200","Mustaqbal al-thaqāfah fī Miṣr /"
UaCaAUL,b13128607,"47295233","al-Tārīkh wa-fikrat al-tafāhum al-ʻālamī :"
UaCaAUL,b13130353,"122726157","Kitāb ḥayāt Dizrāʼīlī /"
UaCaAUL,b13151332,"22339833","Maʻālim al-Waʻy al-qawmī /"
UaCaAUL,b13157838,"35726094","Maṣādir al-tashrīʻ al-Islāmī fīmā lā naṣṣa fīh /"
UaCaAUL,b1315784x,"43061540","al-Ijtihād bi-al-raʼī :"
UaCaAUL,b13163930,"32318748","Muwaṭṭaʼ al-Imām Mālik :"
UaCaAUL,b13170326,"122797325","Majmūʻat khuṭab wa-aḥādīth ṣāḥib al-maʻālī Saʻd Zaghlūl Bāshā raʼīs al-Wafd al-Miṣrī wa-rudūd maʻālīh ʻalá jamāʻat al-munshaqqīn bi-taṣrīḥ khāṣṣ min maʻālīh."
UaCaAUL,b13172712,"60499189","al-Qawānīn al-ʻaqārīyah fī al-diyār al-Miṣrīyah :"
UaCaAUL,b13174927,"122797026","Mushāhadāt sāʼiḥ fī al-mamālik al-Ūrubbīyah /"
UaCaAUL,b13180514,"1080451945","Tashrīʻ al-ʻamal fī Miṣr :"
UaCaAUL,b13187107,"23514090|23069629","Tārīkh Khālid ibn al-Walīd :"
UaCaAUL,b13187132,"79571427|33993245","al-Ẓāhir Baybars wa-ḥaḍārat Miṣr fī ʻaṣrih /"
UaCaAUL,b13189955,"60507302","Qiṣṣat al-kifāḥ bayna Rūmā wa-Qarṭājannah /"
UaCaAUL,b1319446x,"23481743","al-ʻIrāq wa-mā tawālá ʻalayhi min ḥaḍārāt :"
UaCaAUL,b13196005,"862568810","Kitāb muʻjam al-buldān /"
UaCaAUL,b13201475,"23490871","Bārīs /"
UaCaAUL,b13202236,"24407996","Dhikrayāt Bārīs :"
UaCaAUL,b13208524,"1084245298","al-Sharīd wa-qiṣṣaṣ ukhrá /"
UaCaAUL,b13214469,"122899588","Riḥlatī ilá manṭiqat al-Quṭb al-Shamālī /"
UaCaAUL,b13225534,"54516993","Qāmūs al-jughrāfīyah al-qadīmah bi-al-ʻArabī wa-al-Faransāwī /"
UaCaAUL,b13229266,"900486433","Kitāb Nahr al-dhahab fī tārīkh Ḥalab /"
UaCaAUL,b13231492,"122899594","Nashʼat al-lughah ʻinda al-Insān wa-al-Ṭifl /"
UaCaAUL,b13246896,"68491322","Sīrat al-Nabī ʻalayhi al-ṣalātu wa-al-salām /"
UaCaAUL,b13262579,"318941922","Waqʻat al-Sulṭān ʻAbd al-ʻAzīz /"
UaCaAUL,b13267887,"71010886","al-Raḥḥālah al-Muslimūn fī al-ʻUṣūr al-Wusṭá /"
UaCaAUL,b13271210,"1084653464","al-Azhar fī alf ʻām /"
UaCaAUL,b13281604,"61210661","al-Marāsim /"
UaCaAUL,b13292936,"122899468","al-Adab al-Hīllīnī /"
UaCaAUL,b13304355,"318941974","Risālat al-malāʼikah /"
UaCaAUL,b13322436,"1086172701","Sharḥ Qaṭr al-nadá wa-ball al-ṣadá /"
UaCaAUL,b13339230,"48069247","al-Dustūr al-Miṣrī wa-al-ḥukm al-niyābī fī Miṣr wa-tārīkh dhālika min sanat 1866 ilá al-ān /"
UaCaAUL,b13344687,"318942724","Ṣuḥuf mukhtārah min al-shiʻr al-tamthīlī ʻinda al-Yūnān /"
UaCaAUL,b13587158,"122717826","Futūḥāt Ibrāhīm Bāshā al-Miṣrī fī Filasṭīn wa-Lubnān wa-Sūriyā :"
UaCaAUL,b13645195,"63514568","Fī al-rīf al-Miṣrī /"
UaCaAUL,b13675588,"1084248386","Kitāb Qawāʻid al-lughah al-Miṣrīyah al-Qibṭīyah /"
UaCaAUL,b13702580,"54153478","Kitāb Ṣannājat al-ṭarab fī taqaddumāt al-ʻArab /"
UaCaAUL,b13707693,"264889719","Masjid Dimashq :"
UaCaAUL,b13717856,"70070304","Markaz Lubnān al-siyāsī bi-muqtaḍá al-qānūn al-dawlī :"
UaCaAUL,b13720879,"70070322","al-Madkhal al-sharqī li-Miṣr :"
UaCaAUL,b13721264,"318946521","Tilka athārunā :"
UaCaAUL,b13726055,"70070338","Fi bilad ʻAsir, 1370 H.-1951 M. /"
UaCaAUL,b13730101,"318179112","Taʼirīkh al-ummah al-Armanīyah :"
UaCaAUL,b13731312,"47856344","al-Dawlah al-Islāmīyah :"
UaCaAUL,b13742000,"123023332","Ghāndī wa-al-ḥarakah al-Hindīyah /"
UaCaAUL,b13742097,"28060810","Mudhakkiratān /"
UaCaAUL,b13745542,"34232580","Kitāb tatimmat al-bayān fī tārīkh al-Afghān /"
UaCaAUL,b13746303,"122803682","al-Nahaḍāt al-ḥadīthah fī jazīrat al-ʻArab."
UaCaAUL,b13747630,"85052717","Falsafat al-tashrīʻ fī al-Islām :"
UaCaAUL,b13749390,"122803727","Ḥaḍārat al-ʻArab :"
UaCaAUL,b1376133x,"71010932","Taqrīr lajnat al-taʻlīm al-jāmiʻī /"
UaCaAUL,b13763829,"68178615","Sīrat ʻUmar ibn al-Khaṭṭāb :"
UaCaAUL,b13764020,"71010987","Aḥādīth tārīkhīyah /"
UaCaAUL,b13765176,"71011013","Tārīkh duwal al-ʻArab wa-al-Islām /"
UaCaAUL,b13766855,"71348355","al-Shahādāt al-ʻArabīyah amām al-lajnah al-malakīyah fī Filasṭin wa-khulāṣat qarār al-lajnah al-malakīyah."
