1621570	31924075853014	 	1981	ir 	0  M. ʻA. T. (Taraqqī, Muḥammad ʻAlī)		10 Farhang-i Khayyām, ʻArabī-Fārsī : shāmil-i 45 hazār vāzh-i muṣṭalah-i Fārsī, ʻArabī, Turkī bi-z̤amīnah-ʾi farhang-i lughat-i pazīraftah shuda Urūpāʾī va vazhahʹhā-yi naw-i Farhangistān / taʾlīf, M.ʻA.T. [Muḥammad ʻAlī Taraqqī].	   [Tehran] : Kitābfurūshī-i Khayyām, 1359 [1981]	  |672 p. ;|15 cm.	   Arabic and Persian.	 4 Arabic language dictionaries Persian.	PJ6636.P4 T17 1981	olin,anx				cornell_aco_0005
3530149	31924026871941	 	1968	iq 	0  Tawbah ibn al-Ḥumayyir, -704?	10 Poems. 1968	10 Dīwān Tawbah ibn al-Ḥumayyir al-Khafājī / taḥqīq wa-taʻlīq wa-taqdīm Khalīl Ibrāhīm al-ʻAṭīyah.	   Baghdād : Maṭbaʻat al-Irshād, 1968.	  |143 p. :|facsims. ;|24 cm.	   Poems.|   Title on cover: Diwan Tawbah bin al-Humair.|   Bibliography: p. 113-122.|   Includes indexes.		PJ7700.T23 A6 1968	olin				cornell_aco_0146
3530345	31924026873798	 	1970	iq 	1  Sāmarrāʾī, Yūnus Ibrāhīm.		10 Tārīkh shuʻarāʾ Sāmarrāʾ min taʾsīsihā ḥattá al-yawm / bi-qalam Yūnus al-Shaykh Ibrāhīm al-Sāmarrāʾī ; qaddama lahu Nuʻmān Māhir al-Kanʻānī.	   Baghdād : Maṭbaʻat Dār al-Baṣrī, 1970.	  |242 p. ;|24 cm.	   Romanized record; in Arabic.|   Bibliography: p. 236-237.	 0 Poets, Iraqi.| 0 Sāmarrāʾ (Iraq) Biography.	PJ8047.S3 S18	olin				cornell_aco_0147
3530726	31924026877609	 	1969	iq 	1  al-Aḥwas al-Anṣārī, ʻAbd Allāh ibn Muḥammad, approximately 655-728 or 729.		10 Shiʼr al-Aḥwaṣ ibn Muḥammad al-Anṣārī.  Jam· wataḥqīq Ibrāhīm al-Sāmarrāī.	   al-najaf Maṭbaȧt al-Nuṃān, 1969.	  |320 p.|26 cm.	   Cover title: Shiʼar al-Ahwas al-Ansari.|   Bibliography: p. 294-308.		PJ7700.A28 A6 1969	olin				cornell_aco_0148
3530961	31924026879977	 	1965	iq 	1  Najm, Wadīʻah Ṭāhā.		13 al-Jāḥiẓ wa-al-ḥāḍirah al-ʻAbbāsīyah [taʼlīf] Wadīʻah Ṭāhā al-Najm.	   Baghdād, Maṭbaʻat al-Irshād, 1965.	  |14, 240 p.|24 cm.	   Cover title: al-Jahiz and Abbasid city life [by] Wadia T. Najim.|   Bibliography: p. 226-240.	00 Jāḥiẓ, -868 or 869.	PJ7745.J25 Z8	olin				cornell_aco_0149
3530985	31924026880223	 	1965	iq 	1  al-Yamānï, Jaʻfar ibn Aḥmad al-Bahlūlī.		10 Sharḥ qaṣīdat al-Ṣāḥib.	   [Baghdad : al-Maktabah al Ahliyah, 1965, cover 1967]	  |132 p.|facsims.|25 cm.		10 Ṣāḥib al-Ṭālqānī, Abū al-Qāsim Ismāʻīl ibn ʻAbbād, 936-995.	PJ7750.B15 S5	olin				cornell_aco_0151
3531028	31924026880652	 	1965	iq 	1  Ṣāḥib al-Ṭālqānī, Abū al-Qāsim Ismāʻīl ibn ʻAbbād, 936-995.		13 al-Amthāl al-sāʼirah min shiʻr al-Mutanabbī, wa-al-Rūznāmjah. Taʼlīf al-Ṣāhib Abī al-Qāsim Ismāʻīl ibn ʻAbbād. Taḥqīq Muḥammad Ḥasan Āl Yāsīn.	   Baghdad, Maktabat al-Nahḍah 1965 [cover 1966]	  |124 p.|facsims.|24 cm.	   Cover title: Popular proverbs from al-Mutanabbi's poetry, & the Memoranda, by al-Sahib ben Abbad. Edited by Muhamad Hassan Al-yasseen.		PJ7750.S13 A8 1966	olin				cornell_aco_0152
3532260	31924088033752	v.1 	1938	le 	1  Ibn al-Sāʻātī, ʻAlī ibn Muḥammad, 1158?-1208.		10 Dīwān Ibn al-Sāʻātī Bahāʾ al-Dīn Abī al-Ḥasan ʻAlī ibn Rustum ibn Hardūz al-Khurāsānī, yunshar li-awwal marrah ʻan nusakhin khaṭṭīyah yarjiʻ baʻḍuhā ilā ʻahd al-Shāʻir. ʻUniya bi-taḥqīqih wa-nashrih Anīs al-Maqdisī.	   Bayrūt, 1938-1939.	  |2 v.|facsims.|25 cm.	   al-Jāmiʻah al-Amīrkīyah fi Bayrūt. Manshūrāt Kullīyat al-ʻUlūm wa-al-Ādāb. Silsilat al-ʻUlūm al-Sharqīyah, 12, 16.|   Added t. p.: Dīwān Ibn al-Sāʻāti, published for the first time from original manuscripts. Edited by Anis E. Khuri al-Makdisi.		PJ7755.I133 D6 1938	olin				cornell_aco_0155
3532260	31924088033760	v.2 	1938	le 	1  Ibn al-Sāʻātī, ʻAlī ibn Muḥammad, 1158?-1208.		10 Dīwān Ibn al-Sāʻātī Bahāʾ al-Dīn Abī al-Ḥasan ʻAlī ibn Rustum ibn Hardūz al-Khurāsānī, yunshar li-awwal marrah ʻan nusakhin khaṭṭīyah yarjiʻ baʻḍuhā ilā ʻahd al-Shāʻir. ʻUniya bi-taḥqīqih wa-nashrih Anīs al-Maqdisī.	   Bayrūt, 1938-1939.	  |2 v.|facsims.|25 cm.	   al-Jāmiʻah al-Amīrkīyah fi Bayrūt. Manshūrāt Kullīyat al-ʻUlūm wa-al-Ādāb. Silsilat al-ʻUlūm al-Sharqīyah, 12, 16.|   Added t. p.: Dīwān Ibn al-Sāʻāti, published for the first time from original manuscripts. Edited by Anis E. Khuri al-Makdisi.		PJ7755.I133 D6 1938	olin				cornell_aco_0156
3676422	31924028106916	 	1967	iq 	1  Malāʾikah, Nāzik.		10 Qaḍāyā al-shiʻr al-muʻāṣir / Nāzik al-Malāʾikah.	   Baghdād : Maktabat al-Nahḍah, 1967.	  |312 p. ;|25 cm.	   Includes bibliographical references and index.	 0 Arabic poetry 20th century History and criticism.	PJ7541 .M23 1967	olin				cornell_aco_0174
4416690	31924095385773	 	1949	ua 	1  ʻAbd Allāh, Muḥammad ʻAbd al-Ḥalīm.		10 Shajarat al-lablāb / taʾlīf Muḥammad ʻAbd al-Ḥalīm ʻAbd Allāh.	   [Cairo] : Maktabat Miṣr, [1949]	  |183 p. :|ill. ;|20 cm.	   "Maṭbūʻāt Maktabat Miṣr."|   Reprint of the 1949 ed.		PJ7805.M945 S53 1949	olin				cornell_aco_0179
5018586	31924098160108	 	1953	ua 	1  Ḥuṣrī, Ibrāhīm ibn ʻAlī, -1022.		10 Jamʻ al-jawāhir fī al-milaḥ wa-al-nawādir / li-Abī Isḥāq Ibrāhīm ibn ʻAlī al-Ḥuṣarī al-Qayrawānī ; ḥaqqaqah wa-ḍabaṭah wa-faṣṣala abwābah wa-waḍaʻa fahārisah ʻAlī Muḥammad al-Bajjāwī.	   [Miṣr] : Dār Iḥyāʼ al-Kutub al-ʻArabīyah, 1953.	  |4, 403 p. ;|24 cm.	   "Wa-huwa alladhī ṭubiʻa qabl bi-ism Dhayl Zahr al-ādāb."|   Includes bibliographical references (p. 402-403).	 0 Arabic wit and humor.	PN6154.3 .H84x 1953	olin				cornell_aco_0180
6157565	31924104626480	 	1962	sy 	1  ʻUjaylī, ʻAbd al-Salām, 1917-		13 al-Maqāmāt / ʻAbd al-Salām al-ʻUjaylī.	   [Damascus : s.n. ; 1962]	  |96 p.|20 cm.			PJ7866.J3 M3 1962	olin				cornell_aco_0185
6169884	31924107317848	 	1950	ua 	1  Taymūr, Maḥmūd, 1894-1973.		10 Suhād, aw, al-Laḥn al-tāʾih : masraḥīyah ʻArabīyah bi-al-fuṣḥā fī thalāthat fuṣūl / Maḥmūd Taymūr.	   [Cairo] : Maktabat al-Ādāb, 1950 ([al-Qāhirah] : al-Maṭbaʻ ah al-Namūdhajīyah)	  |117 p. ;|21 cm.	   Play.		PJ7864.A5 S84 1950	olin				cornell_aco_0187
6226180	31924095837260	 	1928	ua 	1  Taymūr, Maḥmūd, 1894-1973.		10 Rajab afandī : qiṣṣah Miṣrīyah / Maḥmūd Taymūr.	   al-Qāhirah : al-Maṭbaʻah al-Salafīyah, 1928.	  |156 p. :|ill. ;|20 cm.	   "Muzayyan bi-ṣuwar ʻadīdah min ṣunʻ Ḥussayn Afandī al-rassām."|   Includes Errata page.|   Photo reproduction of the 1928 ed.		PJ7864.A5 R35 1928	olin				cornell_aco_0188
6264210	31924108466982	 	1933	ua 	1  Shawqī, Aḥmad, 1868-1932.		13 al-Shawqīyāt / naẓm Aḥmad Shawqī.	   [Cairo] : Maṭbaʻat al-Maʻārif, 1933.	  |115 p. ;|20 cm.			PJ7862.H3 A6 1933	olin				cornell_aco_0189
6792982	31924111081869	 	    	ti 	1  Ḥanāshī, Yūsuf, 1947-		10 Rūwād al-tajāwuz fī al-adab al-Tūnisī al-ḥadīth / Yūsuf al-Ḥannāshī.	   [Tūnis] : Yūsuf al-Ḥanāshī, [200-?].	  |110 p. ;|22 cm.		   Arabic literature; Tunisia	PJ8253 .H36 2000	olin				cornell_aco_0190
6818539	31924111172510	 	1923	ua 	0  Abū al-ʻAlā' al-Maʻarrī, 973-1057.		10 Risālat al-ghufrān / li-Abī al-ʻAlā' al-Maʻarrī ;ījāz wa-sharḥ Kāmil al-Kīlānī.	   al-Qāhirah : al-Maktabah al-Tijārīyah, 1923.	  |2 v. in 1 ;|24 cm.	   "Kūmīdiyā ilāhīyah masraḥuhā al-jannah wa-al-nār, wa-bi-hā muqaddimah shā'iqah lil-ustādh Farīd Wajdī Bik; ījāz wa-sharḥ Kāmil Kīlānī."|   Also issued online.	 0 Islamic philosophy.	PJ7750.A25 R5 1923	olin				cornell_aco_0191
6823897	31924111290544	 	1952	le 	1  Riḍā, Aḥmad, 1872-1953.		10 Radd al-ʻāmmī ilá al-faṣīḥ / li-mu'allifihi Aḥmad Riḍā.	   Ṣaydā : Dār al-ʻIrfān, 1952.	  |442 p. ;|24 cm.		 0 Arabic language Dialects Syria Dictionaries.| 0 Arabic language Reform.	PJ6815 .R5 1952	olin				cornell_aco_0192
7683042	31924114789625	 	1887	le 	1  Mutanabbī, Abū al-Ṭayyib Aḥmad ibn al-Ḥusayn, 915 or 916-965.	10 ʻArf al-ṭayyib fī sharḥ dīwān Abī al-Ṭayyib	10 Kitāb al-ʻarf al-ṭayyib fī sharḥ dīwān Abī al-Ṭayyib / li-Nāṣīf al-Yāzijī al-Lubnānī.	   Bayrūt : Al-Maṭbaʻah al-Adabīyah, 1305 [1887]	  |710 p. ;|22 cm.	   Includes index.	10 Mutanabbī, Abū al-Ṭayyib Aḥmad ibn al-Ḥusayn, 915 or 916-965. Poems.	PJ7750.M8 A6 1887	olin				cornell_aco_0195
