1930284	31924067532402	juz6 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0101
1930284	31924067532410	juz5 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0102
1931815	31924068913270	v.1 	1897	ua 	1  Nadīm, ʻAbd Allāh, 1845-1896.		10 Sulāfat al-Nadīm : fī muntakhabāt al-Sayyīd ʻAbd Allah al-Nadīm / jamaʻ ʻAbd al-Fattāḥ Nadīm.	   [Cairo] : Maṭbaʻat al-Jāmiʻah, 1897.	  |v. ;|27 cm.			Oversize PJ7852.A23 S94 +	olin				cornell_aco_0113
2684285	31924074332366	v.1:juz1-2 	1896	ua 	1  Ṣabbān, Muḥammad ibn ʻAlī, -1791 or 1792.		10 Ḥāshiyat al-ʻallāmah al-Ṣabbān ʻalá sharḥ al-Ushmūnī ʻalá Alfīyat al-imām Ibn Mālik fī al-naḥw wa-alṣarf. Wa-bihāmishihi Sharḥ al-al-Ushmūnī maʻa baʻḍ taqrīrāt Aḥmad al-Rifāʻī.	   [Cairo : al-Maṭbaʻah al-Maymanīyah, 1896 or 7]	  |4 v. in 2. ;|29 cm.	   Photocopy. [s.l.] : Ridley's Book Bindery, 1992. 29 cm.	10 Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274. Alfīyah| 0 Arabic language Grammar.	Oversize PJ6101.I23 S12 1896a +	olin				cornell_aco_0128
2684285	31924074332374	v.2:juz3-4 	1896	ua 	1  Ṣabbān, Muḥammad ibn ʻAlī, -1791 or 1792.		10 Ḥāshiyat al-ʻallāmah al-Ṣabbān ʻalá sharḥ al-Ushmūnī ʻalá Alfīyat al-imām Ibn Mālik fī al-naḥw wa-alṣarf. Wa-bihāmishihi Sharḥ al-al-Ushmūnī maʻa baʻḍ taqrīrāt Aḥmad al-Rifāʻī.	   [Cairo : al-Maṭbaʻah al-Maymanīyah, 1896 or 7]	  |4 v. in 2. ;|29 cm.	   Photocopy. [s.l.] : Ridley's Book Bindery, 1992. 29 cm.	10 Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274. Alfīyah| 0 Arabic language Grammar.	Oversize PJ6101.I23 S12 1896a +	olin				cornell_aco_0129
2950259	31924079878983	 	1900	ua 	1  Minyāwī, Makhlūf ibn Muḥammad, -1878.		10 Ḥāshiyat al-fāḍil al-shahīr ... Makhlūf al-Minyāwī ʻalá Sharḥ ... Aḥmad al-Damanhūrī li-matn al-Imām al-Akhḍarī al-musammá bi-al-Jawhar al-maknūn fī al-maʻānī wa-al-bayān wa-al-badīʻ / Makhlūf al-Minyāwī. Wa-bi-aʻlá al-ṣaḥīfah Sharḥ al-jawhar al-maknūn ... / Aḥmad al-Damanhūrī.	   Miṣr : Dār Iḥyāʼ al-kutub al-ʻArabīyah, [19--?]	  |180 p. ;|27 cm.		10 Akhḍarī, ʻAbd al-Raḥmān ibn Muḥammad, fl.1543. Jawhar al-maknūn.|10 Damanhūrī, Aḥmad ibn ʻAbd al-Munʻim. Hilyat al-lubb al-maṣūn.| 0 Arabic language Rhetoric.	Oversize PJ6161 .M66 1900 +	olin				cornell_aco_0131
3526665	31924026836696	 	1968	iq 	1  Āl Yāsīn, Muḥammad Ḥusayn, 1947-		13 al-Amal al-ẓamʾān, shiʻr Muḥammad Ḥusayn Āl Yāsīn.	   [Baghdād, Maṭbaʻat al-Maʻārif, 1968]	  |95 p.|22 cm.			PJ7810.L98 A8	olin				cornell_aco_0136
3532230	31924026892756	 	1963	iq 	0  Ibn al-ʻArabī, 1165-1240.		10 Dīwān Ibn ʻArabī, al-Shaykh al-Akbar Abū Bakr Muḥyī al-Dīn ibn ʻArabī al-Ḥātimī. [Būlāq Miṣr, Dār al-Ṭibāʻah al-Bāhirah, 1855].	   [Baghdād, Maktabat Muthanná, 1963?]	  |478 p.|30 cm.	   Added t. p.: Diwan Ibn ʻArabi.|   Photocopy.		Oversize PJ7755 .I118 1963 +	olin				cornell_aco_0154
3532272	31924026893184	v.1 	1955	ua 	1  Ibn Saʻīd, ʻAlī ibn Mūsá, 1213-1286.		13 al-Mughrib fī ḥulā al-Maghrib, ḥaqqaqahu wa-ʻallaqa ʻalayh Shawqī Ḍayf.	   Miṣr, Dār al-Maʻarif [1955]-64 [v. 1, 1964]	  |2 v.|facsims.|24 cm.	   Vol. 2 lacks edition statement.		PJ7755.I14 K6 1955	olin				cornell_aco_0157
3532272	31924087972240	v.2 	1955	ua 	1  Ibn Saʻīd, ʻAlī ibn Mūsá, 1213-1286.		13 al-Mughrib fī ḥulā al-Maghrib, ḥaqqaqahu wa-ʻallaqa ʻalayh Shawqī Ḍayf.	   Miṣr, Dār al-Maʻarif [1955]-64 [v. 1, 1964]	  |2 v.|facsims.|24 cm.	   Vol. 2 lacks edition statement.		PJ7755.I14 K6 1955	olin				cornell_aco_0158
3532298	31924026893432	 	1965	iq 	1  Daljī, Aḥmad ibn ʻAlī, 1368?-1434 or 1435.		13 al-Falākah wa-al-maflūkūn [taʼlīf] Aḥmad ibn ʻAlī al-Daljī.	   Baghdād, Maktabat al-And alus, 1385 [1965 or 1966]	  |192 p.|25 cm.		 0 Asceticism Islam.	PJ7760.D14 F2 1966	olin				cornell_aco_0160
3536622	31924026936728	 	1949	ua 	1  Maḥfūẓ, Najīb, 1911-2006.		10 Bidāyah wa-nihāyah / taʾlīf Najīb Maḥfūẓ.	   al-Fajjālah [Cairo] : Maktabat Miṣr, [1949].	  |382 p. ;|20 cm.			PJ7846.A28 B5	olin				cornell_aco_0166
3556255	31924027112188	 	1968	iq 	1  al-Badrī, Muṣṭafá Nuʻmān.		13 al-Imām Muṣṭafā sādiq al-Rafiʼī [taʼlīf] Muṣṭafā Nuʼmān Husayn al-Badrī. [Qaddam lahu Muḥammad Bahjah al-Atharī.	   Baghdād] Matbaʼat Dār al-Baṣray [1968]	  |12, 488 p.|ports.|25 cm.	   Cover title: Mustafa Sādiq al-Rafiʼi; his age, his biography, and his writings [sic] by Musṭafa Nouman al-Badrī.|   Bibliography: p. 479-486.	10 al-Rāfiʻī, Muṣṭafā Ṣādiq, -1937.	PJ7860.A25 Z59	olin				cornell_aco_0171
5082236	31924031052024	 	1964	iq 	0  Mufaḍḍal ibn Muḥammad al-Ḍabbī, active 8th century.		10 Dīwān al-Mufaḍḍalīyāt : wa-hiya nukhbah min qaṣāʼid al-shuʻarāʼ al-muqallīn fī al-Jāhilīyah wa-awāʼil al-Islām / ihktārahā Abū al-ʻAbbās al-Mufaḍḍal ibn Muḥammad al-Dabbī. Maʻa sharḥ wāfir / li-Abī Muḥammad al-Qāsim ibn Muḥammad ibn Bashshār al-Anbārī.	   Baghdād : Dār al-Maʻārif, [1964?]	  |892, xxxviii p. ;|30 cm.	   Reprint of ed. published Beirut 1920.|   Added t.p.: The Mufaddalīyāt, an anthology of ancient Arabian odes, compiled by al-Mufaddal son of Muhammad, according to the recension and with the commentary of Abu Muhammad al-Qasim ibn Muhammad al-Anbari. Edited for the first time by Charles James Lyall, Oxford.	 0 Arabic poetry.	Oversize PJ7643 .A173 1964 +	olin				cornell_aco_0181
6169857	31924107317699	 	1933	ua 	1  Yāzijī, Ibrāhīm, 1847-1906.		10 Tanbīhāt al-Yāzijī ʻalá Muḥīṭ al-Bustānī, Jamaʻahā wa-ḥalla rumūzahā Salīm Shamʻūn wa-Jibrān al-Naḥad. Bāb al-hamzah.	   al-Iskandarīyah, Maṭbaʻat Ṣalāḥ al-Dīn, [1933]	  |100 p.|facsims,|28 cm.	   Cover title: Tanbihat-ul Yazigy ʾala Muhit-il-Bustany, recueillis & commentés par S. Shamoun & G. J. Nahas.|   No more published?	10 Bustānī, Buṭrus, 1819-1883. Muḥīt al-muḥīt.	Oversize PT6617.B8 M89 +	olin				cornell_aco_0186
7301252	31924115445227	 	1954	ua 	1  Porter, Katherine Anne, 1890-1980.	10 Pale horse, pale rider. Arabic	10 Fawq jawād aghbar / Kātrāyin Ān Būrtar ; naqlataha ilá al-ʻArabiyyah, Sayyidah Ṣūfī ʻAbd Allāh.	   Qāhirah ; Niyū York : Muʼassasah Frānklīn lil-ṭabāʻat wa-al-Nashr, [1954?]	  |189 p. ;|20 cm.	0  Fawq jawād aghbar -- Abnāʼ al-fanāʼ -- Khamrat al-ẓahīrah.		PS3531.O752 P312 1954	olin				cornell_aco_0194
