29702	31924000075923	 	1960	iq 	1  Allūs, Bashīr.		10 Birds of Iraq.	   Baghdad, Ar-Rabitta Press, 1960-62.	  |3 v. in 1.|illus., col. plates.|24 cm.	   Cover title.|   Introductory matter in English; text in Arabic; names of birds in English, Latin and Arabic.	 0 Birds Iraq.| 7 Birds fast (OCoLC)fst00832970| 7 Iraq fast (OCoLC)fst01205757	QL691.I7 A44	mann,anx				cornell_aco_0419
3771718	31924028717654	 	1937	ua 	1  Sakhāwī, ʻAlī ibn Muḥammad, 1163?-1245.		10 Tuḥfat al-aḥbāb wa-bughyat al-ṭullāb fī al-khiṭaṭ wa-al-mazārāt, wa-al-tarājim wa-al-biqāʻ al-mubārakāt / lil-ʻAllāmah Abī al-Ḥasan Nūr al-Dīn ʻAlī ibn Aḥmad ibn ʻUmar ibn Khalaf ibn Maḥmūd al-Sakhāwī al-Ḥanafī ; qāma bi-taṣḥīḥihi wa-murājaʻatihi wa-al-taʻlīq ʻalayhi Maḥmūd Rabīʻ, wa-Ḥasan Qāsim.	   al-Qāhirah : al-ʻUlūm wa-al-Ādāb, 1937.	  |407 p. ;|24 cm.		 0 Muslim saints Tombs.	DT96 .S15	olin,anx				cornell_aco_0490
3771823	31924088413582	v.1 	1955	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		10 Tārīkh al-ḥarakah al-qawmīyah wa-taṭawwur niẓām al-ḥukm fī Miṣr / bi-qalam ʻAbd al-Raḥmān al-Rāfiʻī.	   al-Qāhirah : Maktabat al-Nahḍah al-ʻArabīyah, 1955-	  |v. :|ill., maps ;|24 cm.	   Vol. 2 : 3rd ed.|   Includes bibliographical references.|1  al-juzʻ 1. Yataḍammanu ẓuhūr al-ḥarakah al-qawmīyah fī tārīkh Miṣr al-hadīth wa-bayān al-dawr al-awwal min adwārihā fī ʻahd al-ḥamlah al-Faransīyah wa-tārīkh Miṣr fī hādhā al-ʻahd -- al-juzʾ 2. Min iʻādat al-dīwān fī ʻahd Nābulyūn ilá intihāʾ al-ḥamlah al-Faransīyah wa min jalāʾ al-Faransīyīn ilá irtiqāʾ Muḥammad ʻAlī arīkat Miṣr bi-irādat al-shaʻb.	 0 Egypt History 19th century.| 0 Nationalism Egypt.	DT100 .R13	olin,anx				cornell_aco_0418
3771823	31924088413590	v.2 	1955	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		10 Tārīkh al-ḥarakah al-qawmīyah wa-taṭawwur niẓām al-ḥukm fī Miṣr / bi-qalam ʻAbd al-Raḥmān al-Rāfiʻī.	   al-Qāhirah : Maktabat al-Nahḍah al-ʻArabīyah, 1955-	  |v. :|ill., maps ;|24 cm.	   Vol. 2 : 3rd ed.|   Includes bibliographical references.|1  al-juzʻ 1. Yataḍammanu ẓuhūr al-ḥarakah al-qawmīyah fī tārīkh Miṣr al-hadīth wa-bayān al-dawr al-awwal min adwārihā fī ʻahd al-ḥamlah al-Faransīyah wa-tārīkh Miṣr fī hādhā al-ʻahd -- al-juzʾ 2. Min iʻādat al-dīwān fī ʻahd Nābulyūn ilá intihāʾ al-ḥamlah al-Faransīyah wa min jalāʾ al-Faransīyīn ilá irtiqāʾ Muḥammad ʻAlī arīkat Miṣr bi-irādat al-shaʻb.	 0 Egypt History 19th century.| 0 Nationalism Egypt.	DT100 .R13	olin,anx				cornell_aco_0453
3772036	31924028720898	 	1951	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		10 ʻAṣr Muḥammad ʻAlī / bi-qalam ʻAbd al-Raḥmān al-Rāfiʻī.	   al-Qāhirah : Maktabat al-Nahḍah al-Miṣrīyah, 1951.	  |740 p. :|maps, port. ;|24 cm.	   Includes bibliographical references and index.	00 Muḥammad ʻAlī Bāshā, Governor of Egypt, 1769-1849.| 0 Egypt History Mohammed Ali, 1805-1849.	Oversize DT104 .R13 +	olin,anx				cornell_aco_0431
3772152	31924028722100	 	1952	ua 	1  Ghurbāl, Muḥammad Shafīq, 1894-1961.		10 Tārīkh al-Mufāwaḍāt al-Miṣrīyah al-Birīṭānīyah. al-Juzʾal-Awwal: Baḥth fī al-ʻIlāqāt al-Miṣrīyah al-Birīṭānīyah min al-Iḥtilāl Ilā ʻAqd Muʻāhadat al-Taḥāluf, 1882-1936. taʾlīf Muḥammad Shafīq Ghurbāl.	   al-Qāhirah, Maktabat al-Nahḍah al-Miṣrīyah, 1952.	  |4, 324 p.|24 cm.	   No more published.	 0 Egypt History British occupation, 1882-1936.	DT107 .G43	olin,anx				cornell_aco_0554
3772874	31924028729808	 	1949	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		13 al-Thawrah al-ʻUrābīyah wa-al-iḥtilāl al-Injilīzī / bi-qalam ʻAbd al-Raḥmān al-Rāfiʻī Bik.	   al-Qāhirah : Maktabat al-Nahḍah al-Miṣrīyah, 1949.	  |585 p. :|ill. ;|24 cm.	   Includes bibliographical references (p. 545-550) and index.	 0 Egypt History Tawfīq, 1879-1892.|10 ʻUrābī, Aḥmad, 1840 or 1841-1911.	DT107.4 .R13 1949	olin,anx				cornell_aco_0553
3780471	31924028780298	 	1954	iq 	1  Lestrange, Guy 1854-1933.		10 Buldān al-khilāfah al-sharqīyah : yatanāwal ṣifat al-ʻIrāq wa-al-Jazīrah wa-Īrān wa-aqālīm Āsyah al-Wuṣṭá mundhu al-Fatḥ al-Islāmī ḥattá ayyām Taymūr / naqalahu ilá al-ʻArabīyah wa-aḍāfa ilayhi taʻlīqāt buldānīyah wa-tārīkhīyah wa-atharīyah wa-waḍaʻa fahārisahu Bashīr Fransīs wa-Karkīs ʻAwwād.	   Baghdād : Maṭbaʻat al-Rābiṭah, 1954.	  |14, 590 p. :|illus.	   At head of title : Maṭbūʻāt al-Jamʻ al-ʻIlmī al-ʻIrāqī	 0 Islamic Empire History.	DS44.9 .L64 1954	olin,anx				cornell_aco_0492
3955844	31924030988236	 	1955	le 	1  Rustum, Asad, 1897-1965.		10 Muṣṭalaḥ al-tārīkh : wa-huwa baḥth fī naqd al-uṣūl wa-taḥarrī al-ḥaqāʾiq al-tārīkhīyah wa-iḍāḥuhā wa-ʻaraḍuhā wa-fī mā yuqbilu dhālika fī ʻilm al-ḥadīth / li-muʾallifihi Asad Rustum.	   Bayrūt : al-Maktabah al-ʻAṣrīyah, [1955?]	  |8, 138 p. ;|24 cm.		 0 Arab countries Historiography.	DS61.6 .R97 1955	olin,anx				cornell_aco_0409
3955851	31924030988244	v.1 	1945	le 	1  Ghazzī, Najm al-Dīn Muḥammad ibn Muḥammad, 1570-1651.		13 al-Kawākib al-sāʾirah bi-aʻyān al-miʾah al-ʻashirah, li-Najm al-Dīn al-Ghazzī. Ḥaqqaqahu wa-ḍabaṭa naṣṣahu Jibrāʾīl Sulaymān Jabbūr.	   Bayrūt, al-Maṭbaʻah al-Amīrikānīyah, 1945-1958 [ḥaqīqah 1959]	  |3 v.|facsim.|24 cm.	   Added t.p.: al-Kawakib al-sāʾlrah bi-aʻyān al-miʾah al-ʻāshirah, a biographical dictionary of the notable men and women in the Moslem world in the sixteenth Christian century, by Najm al-Dīn al-Ghazzī.|   Vol. 3. has imprint: Ḥarīṣā, al-Maṭbaʻah al-Būlisīyah.|   Includes bibliographical references and indexes.	 0 Middle East Biography.| 0 Muslims Biography.	DS61.5 .G31 1945	olin,anx				cornell_aco_0440
3955851	31924096459387	v.2 	1945	le 	1  Ghazzī, Najm al-Dīn Muḥammad ibn Muḥammad, 1570-1651.		13 al-Kawākib al-sāʾirah bi-aʻyān al-miʾah al-ʻashirah, li-Najm al-Dīn al-Ghazzī. Ḥaqqaqahu wa-ḍabaṭa naṣṣahu Jibrāʾīl Sulaymān Jabbūr.	   Bayrūt, al-Maṭbaʻah al-Amīrikānīyah, 1945-1958 [ḥaqīqah 1959]	  |3 v.|facsim.|24 cm.	   Added t.p.: al-Kawakib al-sāʾlrah bi-aʻyān al-miʾah al-ʻāshirah, a biographical dictionary of the notable men and women in the Moslem world in the sixteenth Christian century, by Najm al-Dīn al-Ghazzī.|   Vol. 3. has imprint: Ḥarīṣā, al-Maṭbaʻah al-Būlisīyah.|   Includes bibliographical references and indexes.	 0 Middle East Biography.| 0 Muslims Biography.	DS61.5 .G31 1945	olin,anx				cornell_aco_0456
3955851	31924096459395	v.3 	1945	le 	1  Ghazzī, Najm al-Dīn Muḥammad ibn Muḥammad, 1570-1651.		13 al-Kawākib al-sāʾirah bi-aʻyān al-miʾah al-ʻashirah, li-Najm al-Dīn al-Ghazzī. Ḥaqqaqahu wa-ḍabaṭa naṣṣahu Jibrāʾīl Sulaymān Jabbūr.	   Bayrūt, al-Maṭbaʻah al-Amīrikānīyah, 1945-1958 [ḥaqīqah 1959]	  |3 v.|facsim.|24 cm.	   Added t.p.: al-Kawakib al-sāʾlrah bi-aʻyān al-miʾah al-ʻāshirah, a biographical dictionary of the notable men and women in the Moslem world in the sixteenth Christian century, by Najm al-Dīn al-Ghazzī.|   Vol. 3. has imprint: Ḥarīṣā, al-Maṭbaʻah al-Būlisīyah.|   Includes bibliographical references and indexes.	 0 Middle East Biography.| 0 Muslims Biography.	DS61.5 .G31 1945	olin,anx				cornell_aco_0455
4412231	31924028975444	 	1952	ua 	1  Mūsá, Muḥammad Yūsuf.		14 [Al-Nāḥiyah al-ijtimāʻīyah wa-al-siyāsīyah fī falsafat Ibn Sīnā (romanized form)].	   Cairo : Institut Franc̜ais d'Archéologie, 1952.	  |42, 9 p.|25 cm.	   Added t. p.: La sociologie et la politique dans la philosophie d'Avicenne [par] Moḥammad Yūsuf Mūsā.|   Includes extracts from Avicenne's ash-Shifāʾ.|   Summary in French.	00 Avicenna, 980-1037.	B751.Z7 M53 no.1	olin,anx				cornell_aco_0442
4431308	31924029168684	 	1952	ua 	1  Abū Zahrah, Muḥammad.		10 Ibn Taymīyah, ḥayātuhu wa-ʻaṣruhu, ārāʾuhu wa-fiqhuhu.	   [al-Qāhirah] : Dār al-Fikr al-ʻArabī [al-Muqaddimah, 1952]	  |543 p.|24 cm.	   At head of title: Muhammad Abū Zahrah.|   "Kutub Ibn Taymīyah": p. 510-524.|   Bibliographical footnotes.	10 Ibn Taymīyah, Aḥmad ibn ʻAbd al-Ḥalīm, 1263-1328.	BP80.I135 A22	olin,anx				cornell_aco_0557
4432760	31924029186471	 	1939	tu 	1  Daylamī, Muḥammad ibn al-Ḥasan, -1311 or 1312.		10 Bayān madhhab al-Bāṭinīyah wa-buṭlānih, manqūl min kitāb qawāʻid ʻaqāʼid āl Muḥammad, taʼlīf Muḥammad ibn al-Ḥasan al-Daylamī ʻuniyá bi-taṣhīhih R. Shtrūṭmān.	   Istānbūl : li-Jamʻīyat al-Mustashriqīn al-Almānīyah, 1938 [ḥaqīqah 1939]	  |15, 137 p.|26 cm.	   Added t.p.: Die Geheimlehre der Batiniten.|   Bibliographical footnotes.	 0 Batinites.	BP195.B3 D23 1939	olin,anx				cornell_aco_0559
4432772	31924029186679	 	1957	sy 	0  Nuʻmān ibn Muḥammad, Abū Ḥanīfah, -974.		10 Kitāb al-iqtiṣār / lil-qāḍī al-Nuʻman ibn Muḥammad al-Maghribī ; taḥqīq Muḥammad Wahīd Mīrzā.	   Dimashq : al-Maʻhad al-Faransī lil-Dirāsat al-ʻArabīyah, 1957.	  |174, xxxviii p.		 0 Islamic law.| 0 Ismailites.|10 Mirzā, Vaḥīd.	BP195.I8 N97	olin,anx				cornell_aco_0547
4432944	31924029188831	 	1933	ua 	1  Ibn Ḥajar al-ʻAsqalānī, Aḥmad ibn ʻAlī, 1372-1449.		10 Bulūgh al-marām min adillat al-aḥkām, taʾlīf al-Ḥāfiẓ ibn Ḥajar al-ʻAsqalānī. ʻAná bi-taṣḥīḥihi wa-al-taʻlīq ʻalayhi Muḥammad Ḥāmid al-Fiqī.	   Miṣr : al-Maktabah al-Tijārīyah al-Kubrá, [1933]	  |12, 314 p.|24 cm.		 0 Hadith.	BP135 .I12 1933	olin,anx				cornell_aco_0493
4437516	31924092311061	v.4 	1947	le 	1  Zamakhsharī, Maḥmūd ibn ʻUmar, 1075-1144.	10 Kashshāf	13 al-Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl / wa-huwa tafsīr al-Qurʼān al-karīm.  Wa-bi-dhaylihi arbaʻat kutub: al-awwal: al-intiṣāf li-Aḥmad ibn al-Munayyir al-Iskandarī, al-thānī: al-Kāfī al-shāfī fī takhrīj aḥādīth al-kashshāf lil-Ḥāfiẓ Ibn Ḥajar al-ʻAsqalānī, al-thālith : ḥāshiyat Muḥammad ʻIlyān al-Marzūqī ʻalá tafsīr al-kashshāf, al-rābiʻ : mashāhid al-inṣāf ʻalá shawāhid al-kashshāf li-Muḥammad ʻIlyān al-Madhkūr.	   Bayrūt : Dār al-Kitāb al-ʻArabī, [1947]	  |4 v. ;|25 cm.	   In Arabic.	00 Qurʼan Criticism, interpretation, etc. Early works to 1800.|00 Qurʼan Hermeneutics Early works to 1800.	BP130.4 .Z23 1947	olin,anx				cornell_aco_0435
4437516	31924092311079	v.2 	1947	le 	1  Zamakhsharī, Maḥmūd ibn ʻUmar, 1075-1144.	10 Kashshāf	13 al-Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl / wa-huwa tafsīr al-Qurʼān al-karīm.  Wa-bi-dhaylihi arbaʻat kutub: al-awwal: al-intiṣāf li-Aḥmad ibn al-Munayyir al-Iskandarī, al-thānī: al-Kāfī al-shāfī fī takhrīj aḥādīth al-kashshāf lil-Ḥāfiẓ Ibn Ḥajar al-ʻAsqalānī, al-thālith : ḥāshiyat Muḥammad ʻIlyān al-Marzūqī ʻalá tafsīr al-kashshāf, al-rābiʻ : mashāhid al-inṣāf ʻalá shawāhid al-kashshāf li-Muḥammad ʻIlyān al-Madhkūr.	   Bayrūt : Dār al-Kitāb al-ʻArabī, [1947]	  |4 v. ;|25 cm.	   In Arabic.	00 Qurʼan Criticism, interpretation, etc. Early works to 1800.|00 Qurʼan Hermeneutics Early works to 1800.	BP130.4 .Z23 1947	olin,anx				cornell_aco_0439
4437516	31924092311087	v.3 	1947	le 	1  Zamakhsharī, Maḥmūd ibn ʻUmar, 1075-1144.	10 Kashshāf	13 al-Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl / wa-huwa tafsīr al-Qurʼān al-karīm.  Wa-bi-dhaylihi arbaʻat kutub: al-awwal: al-intiṣāf li-Aḥmad ibn al-Munayyir al-Iskandarī, al-thānī: al-Kāfī al-shāfī fī takhrīj aḥādīth al-kashshāf lil-Ḥāfiẓ Ibn Ḥajar al-ʻAsqalānī, al-thālith : ḥāshiyat Muḥammad ʻIlyān al-Marzūqī ʻalá tafsīr al-kashshāf, al-rābiʻ : mashāhid al-inṣāf ʻalá shawāhid al-kashshāf li-Muḥammad ʻIlyān al-Madhkūr.	   Bayrūt : Dār al-Kitāb al-ʻArabī, [1947]	  |4 v. ;|25 cm.	   In Arabic.	00 Qurʼan Criticism, interpretation, etc. Early works to 1800.|00 Qurʼan Hermeneutics Early works to 1800.	BP130.4 .Z23 1947	olin,anx				cornell_aco_0438
4437516	31924092311095	v.1 	1947	le 	1  Zamakhsharī, Maḥmūd ibn ʻUmar, 1075-1144.	10 Kashshāf	13 al-Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl / wa-huwa tafsīr al-Qurʼān al-karīm.  Wa-bi-dhaylihi arbaʻat kutub: al-awwal: al-intiṣāf li-Aḥmad ibn al-Munayyir al-Iskandarī, al-thānī: al-Kāfī al-shāfī fī takhrīj aḥādīth al-kashshāf lil-Ḥāfiẓ Ibn Ḥajar al-ʻAsqalānī, al-thālith : ḥāshiyat Muḥammad ʻIlyān al-Marzūqī ʻalá tafsīr al-kashshāf, al-rābiʻ : mashāhid al-inṣāf ʻalá shawāhid al-kashshāf li-Muḥammad ʻIlyān al-Madhkūr.	   Bayrūt : Dār al-Kitāb al-ʻArabī, [1947]	  |4 v. ;|25 cm.	   In Arabic.	00 Qurʼan Criticism, interpretation, etc. Early works to 1800.|00 Qurʼan Hermeneutics Early works to 1800.	BP130.4 .Z23 1947	olin,anx				cornell_aco_0461
4460900	31924029261034	 	1932	ua 	1  Sbath, Paul.		13 Al-Machra' par le P. Paul Sbath.	   [Cairo : Cairo Printing Press, 1932]	  |[210] p.|24 cm.	   T.p. and Text in Arabic.	 0 Christianity Essence, genius, nature.| 0 Christianity and other religions Mohammedanism.	BR121 .S27	olin,anx				cornell_aco_0494
4472539	31924032331898	v.1 	1933	ua 	1  Ibn al-Jazarī, Muḥammad ibn Muḥammad, 1350-1429.		10 Kitāb ghāyat al-nihāyah fī ṭabaqāt al-qurrāʾ, taʾlīf Shams al-Dīn Muḥammad ibn Muḥammad ibn al-Jazarī.	   Miṣr [s.n., 1933-35]	  |3 v. in 2 ;|25 cm.	   Photoreproduction in Baghdad 1973.|0  al-Juzʾ al-awwal: Ibbān-Ibn ʻAysūn bi-iʻtināʾ G. Berg-Straesser- al-Juzʾ al-thānī: Ghāzī-Ibn Yūnis bi-iʻtināʾ G. Bergstraesser. [wa] Otto Pretzl.	 0 Muslims Biography.	BP70 .I12 1932a	olin,anx				cornell_aco_0443
4472539	31924032331906	v.2 	1933	ua 	1  Ibn al-Jazarī, Muḥammad ibn Muḥammad, 1350-1429.		10 Kitāb ghāyat al-nihāyah fī ṭabaqāt al-qurrāʾ, taʾlīf Shams al-Dīn Muḥammad ibn Muḥammad ibn al-Jazarī.	   Miṣr [s.n., 1933-35]	  |3 v. in 2 ;|25 cm.	   Photoreproduction in Baghdad 1973.|0  al-Juzʾ al-awwal: Ibbān-Ibn ʻAysūn bi-iʻtināʾ G. Berg-Straesser- al-Juzʾ al-thānī: Ghāzī-Ibn Yūnis bi-iʻtināʾ G. Bergstraesser. [wa] Otto Pretzl.	 0 Muslims Biography.	BP70 .I12 1932a	olin,anx				cornell_aco_0444
4472641	31924032332037	 	1952	ua 	1  Ghazzālī, 1058-1111.		10 Mukāshafat al-qulūb al-muqarrib ilá ḥaḍrat ʻallām al-qhuyūb mukhtaṣar min al-Mukāshafah al-kubrá / lil-Imām Abī Ḥāmid Muḥammad ibn Muḥammad al-Ghazzālī.	   Miṣr : Muṣṭafá al-Bābī, 1952.	  |328 p. ;|20 cm.		 0 Sufism.| 0 Islamic ethics.	BP189 .G41 1952	olin,anx				cornell_aco_0535
4515148	31924095623330	v.2:pt.2 	1943	ua 	0  Sāwīrus ibn al-Muqaffaʻ, Bishop of el-Ashmunein, active 955-987.		10 Taʼrikh baṭārikat al-Kantsah al-Miṣrīyah, al-maʻruf bi-Siyar al-Biyʻah al-Muqadisah li-Sāwīrus ibn al-Muqaffaʻ usquf al-Ashmūnayn. Qāma ʻala nashrihi Yasa ʻAbd al-Masīḥ [wa] Uswald Burmastar.	   al-Qāhirah, 1943-	  |v.|27 cm.	   A continuation of the Arabic text published by C.F. Seybold under title: Historia patriarcharum Alexandrinorum, Tomus 1 (Beirut, 1904-10)|0  al-Majlad al-thānī, al-juzʼ al-awwal: min al-Baṭaryark Khāyīl al-Thānī ilā al-Baṭaryark Shanūdah al-Awwal, 829-880 m. --al-Majlad al-thālith, al-juzʼ al-awwal: min al-Baṭaryark Maqārah al-Thānī ilā Baṭaryark Yuḥannā al-Ḥāmis, 1102-1167 m.	 0 Alexandria (Egypt) History.	Oversize BX132 .S49 +	olin,anx				cornell_aco_0428
4515148	31924095645267	v.3:pt.3 	1943	ua 	0  Sāwīrus ibn al-Muqaffaʻ, Bishop of el-Ashmunein, active 955-987.		10 Taʼrikh baṭārikat al-Kantsah al-Miṣrīyah, al-maʻruf bi-Siyar al-Biyʻah al-Muqadisah li-Sāwīrus ibn al-Muqaffaʻ usquf al-Ashmūnayn. Qāma ʻala nashrihi Yasa ʻAbd al-Masīḥ [wa] Uswald Burmastar.	   al-Qāhirah, 1943-	  |v.|27 cm.	   A continuation of the Arabic text published by C.F. Seybold under title: Historia patriarcharum Alexandrinorum, Tomus 1 (Beirut, 1904-10)|0  al-Majlad al-thānī, al-juzʼ al-awwal: min al-Baṭaryark Khāyīl al-Thānī ilā al-Baṭaryark Shanūdah al-Awwal, 829-880 m. --al-Majlad al-thālith, al-juzʼ al-awwal: min al-Baṭaryark Maqārah al-Thānī ilā Baṭaryark Yuḥannā al-Ḥāmis, 1102-1167 m.	 0 Alexandria (Egypt) History.	Oversize BX132 .S49 +	olin,anx				cornell_aco_0429
4515148	31924096448851	v.2:pt.1 	1943	ua 	0  Sāwīrus ibn al-Muqaffaʻ, Bishop of el-Ashmunein, active 955-987.		10 Taʼrikh baṭārikat al-Kantsah al-Miṣrīyah, al-maʻruf bi-Siyar al-Biyʻah al-Muqadisah li-Sāwīrus ibn al-Muqaffaʻ usquf al-Ashmūnayn. Qāma ʻala nashrihi Yasa ʻAbd al-Masīḥ [wa] Uswald Burmastar.	   al-Qāhirah, 1943-	  |v.|27 cm.	   A continuation of the Arabic text published by C.F. Seybold under title: Historia patriarcharum Alexandrinorum, Tomus 1 (Beirut, 1904-10)|0  al-Majlad al-thānī, al-juzʼ al-awwal: min al-Baṭaryark Khāyīl al-Thānī ilā al-Baṭaryark Shanūdah al-Awwal, 829-880 m. --al-Majlad al-thālith, al-juzʼ al-awwal: min al-Baṭaryark Maqārah al-Thānī ilā Baṭaryark Yuḥannā al-Ḥāmis, 1102-1167 m.	 0 Alexandria (Egypt) History.	Oversize BX132 .S49 +	olin,anx				cornell_aco_0558
4515148	31924096448869	v.3:pt.1 	1943	ua 	0  Sāwīrus ibn al-Muqaffaʻ, Bishop of el-Ashmunein, active 955-987.		10 Taʼrikh baṭārikat al-Kantsah al-Miṣrīyah, al-maʻruf bi-Siyar al-Biyʻah al-Muqadisah li-Sāwīrus ibn al-Muqaffaʻ usquf al-Ashmūnayn. Qāma ʻala nashrihi Yasa ʻAbd al-Masīḥ [wa] Uswald Burmastar.	   al-Qāhirah, 1943-	  |v.|27 cm.	   A continuation of the Arabic text published by C.F. Seybold under title: Historia patriarcharum Alexandrinorum, Tomus 1 (Beirut, 1904-10)|0  al-Majlad al-thānī, al-juzʼ al-awwal: min al-Baṭaryark Khāyīl al-Thānī ilā al-Baṭaryark Shanūdah al-Awwal, 829-880 m. --al-Majlad al-thālith, al-juzʼ al-awwal: min al-Baṭaryark Maqārah al-Thānī ilā Baṭaryark Yuḥannā al-Ḥāmis, 1102-1167 m.	 0 Alexandria (Egypt) History.	Oversize BX132 .S49 +	olin,anx				cornell_aco_0432
4515148	31924096448877	v.3:pt.2 	1943	ua 	0  Sāwīrus ibn al-Muqaffaʻ, Bishop of el-Ashmunein, active 955-987.		10 Taʼrikh baṭārikat al-Kantsah al-Miṣrīyah, al-maʻruf bi-Siyar al-Biyʻah al-Muqadisah li-Sāwīrus ibn al-Muqaffaʻ usquf al-Ashmūnayn. Qāma ʻala nashrihi Yasa ʻAbd al-Masīḥ [wa] Uswald Burmastar.	   al-Qāhirah, 1943-	  |v.|27 cm.	   A continuation of the Arabic text published by C.F. Seybold under title: Historia patriarcharum Alexandrinorum, Tomus 1 (Beirut, 1904-10)|0  al-Majlad al-thānī, al-juzʼ al-awwal: min al-Baṭaryark Khāyīl al-Thānī ilā al-Baṭaryark Shanūdah al-Awwal, 829-880 m. --al-Majlad al-thālith, al-juzʼ al-awwal: min al-Baṭaryark Maqārah al-Thānī ilā Baṭaryark Yuḥannā al-Ḥāmis, 1102-1167 m.	 0 Alexandria (Egypt) History.	Oversize BX132 .S49 +	olin,anx				cornell_aco_0430
4515148	31924096448885	v.4:pt.1 	1943	ua 	0  Sāwīrus ibn al-Muqaffaʻ, Bishop of el-Ashmunein, active 955-987.		10 Taʼrikh baṭārikat al-Kantsah al-Miṣrīyah, al-maʻruf bi-Siyar al-Biyʻah al-Muqadisah li-Sāwīrus ibn al-Muqaffaʻ usquf al-Ashmūnayn. Qāma ʻala nashrihi Yasa ʻAbd al-Masīḥ [wa] Uswald Burmastar.	   al-Qāhirah, 1943-	  |v.|27 cm.	   A continuation of the Arabic text published by C.F. Seybold under title: Historia patriarcharum Alexandrinorum, Tomus 1 (Beirut, 1904-10)|0  al-Majlad al-thānī, al-juzʼ al-awwal: min al-Baṭaryark Khāyīl al-Thānī ilā al-Baṭaryark Shanūdah al-Awwal, 829-880 m. --al-Majlad al-thālith, al-juzʼ al-awwal: min al-Baṭaryark Maqārah al-Thānī ilā Baṭaryark Yuḥannā al-Ḥāmis, 1102-1167 m.	 0 Alexandria (Egypt) History.	Oversize BX132 .S49 +	olin,anx				cornell_aco_0433
4515148	31924096448893	v.4:pt.2 	1943	ua 	0  Sāwīrus ibn al-Muqaffaʻ, Bishop of el-Ashmunein, active 955-987.		10 Taʼrikh baṭārikat al-Kantsah al-Miṣrīyah, al-maʻruf bi-Siyar al-Biyʻah al-Muqadisah li-Sāwīrus ibn al-Muqaffaʻ usquf al-Ashmūnayn. Qāma ʻala nashrihi Yasa ʻAbd al-Masīḥ [wa] Uswald Burmastar.	   al-Qāhirah, 1943-	  |v.|27 cm.	   A continuation of the Arabic text published by C.F. Seybold under title: Historia patriarcharum Alexandrinorum, Tomus 1 (Beirut, 1904-10)|0  al-Majlad al-thānī, al-juzʼ al-awwal: min al-Baṭaryark Khāyīl al-Thānī ilā al-Baṭaryark Shanūdah al-Awwal, 829-880 m. --al-Majlad al-thālith, al-juzʼ al-awwal: min al-Baṭaryark Maqārah al-Thānī ilā Baṭaryark Yuḥannā al-Ḥāmis, 1102-1167 m.	 0 Alexandria (Egypt) History.	Oversize BX132 .S49 +	olin,anx				cornell_aco_0434
4715658	31924029856170	 	1960	iq 	1  880-01 Ibn Khurradādhbih, ʻUbayd Allāh ibn ʻAbd Allāh, approximately 820-approximately 912.		13 880-02 Al-Masālik wa-al-mamālik / li-Abī al-Qāsim ʻUbayd Allāh al-maʻruf bi-Ibn Khurradādhbih ; wa-yalīhu nubadh min Kitāb al-kharāj wa-ṣanʻat al-kitābah, li-Abī al-Faraj Qudāmah ibn Jaʻfar al-Kātib al-Baghdādī.	   880-03 Baghdād : Maktabat al-Muthanná, [196-]	  |308, 8, xxiii p. ;|25 cm.	   Preface in French; commentary in Latin.|   Added t.p.: Kitâb al-masâlik wa'l-mamâlik (Liber viarum et regnorum) / auctore Abu'l-Kâsim Obaidallah ibn Abdallah ibn Khordâdhbeh. Et exerpta e Kitâb al-kharâdj / auctore Kodâma ibn Dja'far ; quae com versione Gallica edidit, idicibus et glossario instruxit M.J. de Goeje.|   Reprint of the 1889 ed.|   Includes bibliographical references and index.	 0 Geography, Arab.| 7 Geography, Arab. fast (OCoLC)fst00940571	G93 .B58 v.6 1960	olin,anx				cornell_aco_0555
4722767	31924032408324	 	1948	ua 	1  Hamdānī, al-Ḥasan ibn Aḥmad, d. 945.		13 al-Iklīl : min akhbār al-Yaman wa-insāb ḥamīr, al-kitāb al-ʻāshir / taṣnīf lisān al-Yaman Abī Muḥammad al-Ḥasan ibn Aḥmad ibn Yaʻqūb al-Hamdānī ; haqqaqahu wa-ʻallaqa ḥawāshīh wa-waqafa ʻalá ṭabʻih Muḥibb al-Dīn al-Khaṭīb.	   al-Qāhirah : al-Maṭbaʻah al-Salfīyah wa-Maktabatuhā, 1948-9.	  |[18], 376 p. :|facsim. ;|24 cm.		 0 Yemen (Republic) Antiquities.	CS1122 .H21	olin,anx				cornell_aco_0537
