003/Inst,001/BSN,OCLC number(s),245a/Title
LeBAU,b1246286x,"784327321","Kayfa tatakāmal al-shakhṣīyah /"
LeBAU,b12463048,"784327917","al-Shabībah al-Madrasīyah :"
LeBAU,b12463176,"784327967","Durūs fī uṣūl al-tadrīs /"
LeBAU,b12463486,"784328019","Qānūn al-maṭbūʻāt raqm (82) li-sanat 1931 /"
LeBAU,b12463516,"784328027","Majmūʻat Qānūn al-maṭbūʻāt raqm (82) li-sanat 1931 ;"
LeBAU,b12463541,"784328035","Qānūn al-maṭbūʻāt raqm (57) li-sanat 1933 /"
LeBAU,b12463590,"784328040","Qānūn al-maṭbūʻāt al-Lubnānī wa-nuṣūṣ ukhrā dhāt ʻalāqah bi-al-ṣiḥāfah."
LeBAU,b12464636,"784328245","Uṣūl al-fiqh /"
LeBAU,b12466992,"784329325","Kitāb al-Uṣūl al-qaḍāʼīyah fi al-murāfaʻāt al-sharʻīyah /"
LeBAU,b12467376,"784329557","al-Uṣūl min al-Kāfī /"
LeBAU,b12467418,"784329570","Tārīkh al-tashrīʻ al-Islāmī /"
LeBAU,b12469312,"784331111","Inṣāf al-marʼah /"
LeBAU,b12471501,"784332360","Intiqād Kitāb al-Kanz fī qawāʻid al-lughah al-ʻIbrīyah /"
LeBAU,b12472748,"784332607","Min aʻmāq al-jabal /"
LeBAU,b12474460,"784334204","Kitāb Mīzān al-aḥlām /"
LeBAU,b12474502,"784334212","al-Taḥdhīr min akhṭāʼ al-Nābulusī fī taʻbīr ruʼyā Fāṭimah wa-al-Ḥasan wa-al-Ḥusayn /"
LeBAU,b12475014,"784334340","Qurrat al-ʻayn bi-fatāwá ʻulamāʼ al-Ḥaramayn /"
LeBAU,b12475099,"784334358","al-Mabādiʼ al-sharʻīyah fī al-ḥajr wa-al-nafaqāt wa-al-mawārīth wa-al-waṣīyah fī al-madhhab al-Ḥanafī wa-al-tashrīʻ al-Lubnānī /"
LeBAU,b12475130,"36764072","al-Naẓarīyah al-ʻāmmah lil-mūjibāt wa-al-ʻuqūd fī al-sharīʻah al-Islāmīyah :"
LeBAU,b12475282,"784334476","Amthāl al-umam al-Ūrubbīyah /"
LeBAU,b12475336,"784334522","Hadīyat al-muhtadīn fī muqaddimat Ḥabl al-sharʻ al-matīn ;"
LeBAU,b12475592,"784334818","al-Mashraʻ min al-majmaʻ, aw, tahdhīb majmaʻ al-amthāl lil-Maydānī /"
LeBAU,b12475737,"784334960","Amthāl al-Mutanabbī /"
LeBAU,b12476523,"784335796","ʻIlm al-lughah /"
LeBAU,b12477771,"784337333","Taysīr al-kitābah al-ʻArabīyah /"
LeBAU,b12478039,"784337456","Taḥqīq al-nuṣūṣ wa-nashruhā‎ :"
LeBAU,b12478428,"784337844","Ḥayāt al-lughah al-ʻArabīyah :"
LeBAU,b12478891,"784338599","Asmāʼ al-ashhur fī al-ʻArabīyah wa-maʻānīhā :"
LeBAU,b12479202,"784338730","al-Inṣāf fī maʻrifat al-rājiḥ min al-khilāf ʻalá madhhab al-Imām Aḥmad ibn Ḥanbal /"
LeBAU,b12479421,"784338869","al-Ṣulḥ al-bāṭil wa-radd badalihi :"
LeBAU,b12479500,"784338914","al-Majmūʻ :"
LeBAU,b12479998,"784339156","Dalīl al-Muḥtār fī ʻilm al-Biḥār /"
LeBAU,b12480149,"784339208","Jawhar al-niẓām fī ʻilmay al-adyān wa-al-aḥkām /"
LeBAU,b12480150,"784339209","Maṣādir al-ḥaqq fī al-fiqh al-Islāmī :"
LeBAU,b12480162,"68577606","Majmūʻat al-qawānīn al-Miṣrīyah al-mukhtārah min al-fiqh al-Islāmī /"
LeBAU,b12480174,"784339211","Kitāb al-Masāʼil al-ʻashr al-musamma, Bughyat al-maqaṣid fī khulāṣat al-marāṣid /"
LeBAU,b12480551,"784339400","Lughat al-ʻArab wa-kayfa nanhaḍu bi-hā :"
LeBAU,b12483072,"784339768","al-Sharʻ wa-al-lughah /"
LeBAU,b12483308,"784339825","al-Qawl al-mufīd fī adillat al-ijtihād wa-al-taqlīd /"
LeBAU,b12483321,"784339833","al-Iqnāʻ fī ḥall alfāẓ Abī Shujāʻ :"
LeBAU,b12483370,"784339846","al-Ḥāwī lil-fatāwá fī al-fiqh wa-ʻulūm al-tafsīr wa-al-ḥadīth wa-al-naḥw wa-al-iʻrāb wa-sā’ir al-funūn /"
LeBAU,b12483382,"784339847","Mashrūʻ Qānūn al-Awqāf al-Islāmīyah raqm () li-sanat 1938."
LeBAU,b12483412,"784339859","Hādhā Kitāb Iḥtijāj al-Ṭabarsī /"
LeBAU,b12484878,"784341381","Kitāb al-Shufʻah min al-Jāmiʻ al-kabīr fī al-shurūṭ /"
LeBAU,b12484970,"784341402","Fatḥ al-ʻalī al-mālik fī al-fatwá ʻalá madhhab al-Imām Mālik /"
LeBAU,b12485044,"784341488","al-Muḥāḍarāt al-sharʻīyah, 1926-1927 /"
LeBAU,b1248720x,"784345737","Tārīkh al-lughah al-ʻArabīyah :"
LeBAU,b12487545,"784346134","Aḥdath al-ṭuruq fī al-tarbīyah li-tadrīs al-lughah al-ʻArabīyah /"
LeBAU,b12487557,"784346143","al-Ṭuruq al-khāṣṣah fī al-tarbīyah li-tadrīs al-lughah al-ʻArabīyah wa-al-dīn /"
LeBAU,b12488185,"784347752","Radd al-ʻāmmī ilá al-faṣīḥ /"
LeBAU,b12494951,"784357584","al-Nawādir al-ṭibbīyah ="
LeBAU,b12496091,"784358531","al-Mufakkarah al-zirāʻīyah li-sanat 1948 /"
LeBAU,b12496418,"784359309","al-Mushkilah al-zirāʻīìyah fī al-ʻIrāq /"
LeBAU,b12501542,"784362431","Tārīkh al-khaṭṭ al-ʻArabī wa-ādābuh :"
LeBAU,b12504324,"784363584","Masājid al-Qāhirah qabla ʻaṣr al-Mamālik /"
LeBAU,b12504567,"784363618","al-Muʼtamar al-Handasī al-ʻArabī al-Khāmis :"
LeBAU,b12505390,"784363741","al-Rayy fī al-ʻIrāq wa-Miṣr :"
LeBAU,b12505419,"784363748","Mashrūʻāt al-rayy al-kubrá."
LeBAU,b12505432,"784363755","Taṭawwur al-rayy fī al-ʻIrāq /"
LeBAU,b12505511,"784363782","ʻIlm al-rayy /"
LeBAU,b12505572,"784363812","Mashrūʻ al-Sadd al-ʻālī /"
LeBAU,b12505705,"784363847","Miyāh ʻAyn al-Fījah fī Dimashq :"
LeBAU,b12507313,"784364641","Kinānat al-shataranjī al-ʻaṣrī /"
LeBAU,b12507611,"784364672","12 ūpirā ʻālamīyah /"
LeBAU,b12508032,"784364728","Zād al-musāfir :"
LeBAU,b12508263,"784364800","ʻĪd al-fuṣḥ al-majīd /"
LeBAU,b12511080,"784366318","Tahdhīb al-adab :"
LeBAU,b12511250,"784366335","Manāhij al-tarjamah /"
LeBAU,b12514251,"784366698","al-Adab fī al-maydān /"
LeBAU,b12514445,"784366729","Ṣuwar min al-adab al-ḥadīth /"
LeBAU,b12515206,"784369235","Difāʻ ʻan al-Adab /"
LeBAU,b12515425,"784369371","al-Uṣūl al-fannīyah lil-adab /"
LeBAU,b12515450,"784369393","Muḥāwalāt fī fahm al-adab /"
LeBAU,b12515723,"33302610","Tahdhīb al-kāmil fī al-lughah wa-al-adab /"
LeBAU,b12516296,"784370217","ʻUqūd al-jumān sharḥ urjūzat ʻilm al-maʻānī wa-al-bayān /"
LeBAU,b12516442,"784370355","Balāghat Arisṭū bayna al-ʻArab wa-al-Yūnān :"
LeBAU,b12516521,"784370435","Mawqif al-nuqqād min al-shiʻr al-Jāhilī /"
LeBAU,b12516648,"784370571","al-Murūj wa-al-ṣaḥārá :"
LeBAU,b12516983,"784371742","Ḥadāʼiq al-siḥr fī daqāʼiq al-shiʻr /"
