b1246238x,aub_aco004217
b12548443,aub_aco004619
b12481890,aub_aco004402
b12533543,aub_aco004622
b12527683,aub_aco004545:'v.1'|aub_aco004546:'v.2'|aub_aco004547:'v.3'|aub_aco004548:'v.4'
b12543573,aub_aco004567
b12540614,aub_aco004731
b12490647,aub_aco004370
b12571556,aub_aco004713
b12594234,aub_aco004728
b12576050,aub_aco004708
b12556695,aub_aco004654
b12550826,aub_aco004718
b12452063,aub_aco004101
b12526204,aub_aco004594:'v.1'|aub_aco004595:'v.2'
b12533294,aub_aco004597
b12511882,aub_aco004467
b12448199,aub_aco004069
b12458430,aub_aco004108
b12454059,aub_aco004127
b12460424,aub_aco004174
b12464594,aub_aco004234
b12468381,aub_aco004246
b12548844,aub_aco004616:'v.1'|aub_aco004617:'v.2'
b12465057,aub_aco004230
b12533658,aub_aco004577
b12472098,aub_aco004274
b12459665,aub_aco004185
b12471951,aub_aco004273
b12571404,aub_aco004685:'v.1'|aub_aco004686:'v.2'|aub_aco004687:'v.3'
b12460758,aub_aco004173
b12468447,aub_aco004259
b12461428,aub_aco004026
b12571593,aub_aco004701:'v.1-2'
b12785209,aub_aco004359
b12607526,aub_aco004521
b1254047x,aub_aco004729
b12459707,aub_aco004187
b12513301,aub_aco004471
b12467339,aub_aco004245
b12469506,aub_aco004303
b13071373,aub_aco004502
b12452920,aub_aco004126
b12453031,aub_aco004131
b12512059,aub_aco004468
b12571696,aub_aco004702
b1249463x,aub_aco004407
b1245669x,aub_aco004051
b12555101,aub_aco004653
b12518840,aub_aco004500
b12475518,aub_aco004099
b12461660,aub_aco004212
b12511432,aub_aco004479
b12457954,aub_aco004148:'v.1'
b12491937,aub_aco004393
b12459884,aub_aco004168
b12450935,aub_aco004048
b12481865,aub_aco004398
b12561083,aub_aco004678
b12676366,aub_aco004744
b1245347x,aub_aco004136
b12559180,aub_aco004674
b12453699,aub_aco004137
b12630767,aub_aco004520
b12452518,aub_aco004105
b12551211,aub_aco004727
b1246496x,aub_aco004050:'v.1'
b12511468,aub_aco004463
b12407860,aub_aco000031|aub_aco002663:'v.2'|aub_aco002664:'v.3'
b12462573,aub_aco004219:'v.1'
b1246921x,aub_aco004300
b12508743,aub_aco004456
b12453432,aub_aco004128
b12452348,aub_aco004113
b12541175,aub_aco004603:'v.1'|aub_aco004604:'v.1'|aub_aco004605:'v.2'|aub_aco004606:'v.2'|aub_aco004607:'v.3'|aub_aco004608:'v.3'|aub_aco004609:'v.4'|aub_aco004610:'v.4'
b12450868,aub_aco004046
b12457115,aub_aco004176
b12501803,aub_aco004443
b12509826,aub_aco004494
b12481932,aub_aco004381
b12932978,aub_aco004680
b12571453,aub_aco004695
b12456950,aub_aco004049
b12470302,aub_aco004315
b12452130,aub_aco004102
b12601950,aub_aco004537:'v.1'|aub_aco004538:'v.2'|aub_aco004539:'v.3'|aub_aco004540:'v.4'|aub_aco004541:'v.5'|aub_aco004542:'v.6-8'|aub_aco004543:'v.9'|aub_aco004544:'v.10'
b2592753x,aub_aco004646:'v.10'
b12454965,aub_aco004088
