1920811	31924067519979	 	1957	sy 	1  Ibn al-Anbārī, ʻAbd al-Raḥman ibn Muḥammad, 1119-1181.	10 Ighrāb fī jadal al-iʻrāb 	13 al-Ighrāb fī jadal al-iʻrāb wa-lumaʻ al-adillah fi uṣūl al-naḥw / taʾlīf Abī al-Barakāt ʻAbd al-Raḥmān Kamāl al-Dīn ibn Muḥammad al-Anbārī ; qaddama lahumā wa-ʻuniya bi-taḥqīqihimā Saʻīd al-Afghānī.	   [Damascus] : Maṭbaʻat al-Jāmiʻah al-Surīyah, 1957.		 0 Arabic language Grammar.	PJ6106 .I13	olin,anx				cornell_aco_0074
1921247	31924067532444	juz3 	1953	ua 	1  Rāfiʻī, Muṣṭafá Ṣādiq, -1937.		10 Tārīkh ādāb al-ʻArab / Muṣṭafá Ṣādiq al-Rāfiʻī ; ḍabaṭahu wa-ṣaḥḥahu wa-ḥaqqaqa uṣūlahu Muḥammad Saʻīd al-ʻIryān.	   al-Qāhirah : Maṭbaʻat al-Istiqāmah, 1953-	   Vol. 3 has: al-Ṭabʻah 2.|   Includes bibliographical references.	 0 Arabic literature History and criticism.	PJ7510 .R13 1953	olin,anx				cornell_aco_0075
1921247	31924068104185	juz2 	1953	ua 	1  Rāfiʻī, Muṣṭafá Ṣādiq, -1937.		10 Tārīkh ādāb al-ʻArab / Muṣṭafá Ṣādiq al-Rāfiʻī ; ḍabaṭahu wa-ṣaḥḥahu wa-ḥaqqaqa uṣūlahu Muḥammad Saʻīd al-ʻIryān.	   al-Qāhirah : Maṭbaʻat al-Istiqāmah, 1953-	   Vol. 3 has: al-Ṭabʻah 2.|   Includes bibliographical references.	 0 Arabic literature History and criticism.	PJ7510 .R13 1953	olin,anx				cornell_aco_0077
1923708	31924060269911	juz2 	1954	ua 	1  Ibn Jinnī, Abū al-Fatḥ ʻUthmān, -1002.		13 Munṣif / sharḥ Abī al-Fatḥ ʻUthmān ibn Jinnī al-Naḥwī li-kitāb al-Taṣrīf li-Abī ʻUthmān al-Māzinī al-Naḥwī al-Baṣrī ; bi-taḥqīq Ibrāhim Muṣṭafá, ʻAbd Allāh Amīn.	   Miṣr : Wizārat al-Maʻārif al-ʻUmūmīyah, 1954-1960.	   Includes bibliographical references and indexes.	10 Māzinī, Abū ʻUthmān Bakr ibn Muḥammad, approximately 863. Kitāb al-taṣrīf.| 0 Arabic language Grammar Early works to 1800.	PJ6101.I213 M96	olin,anx				cornell_aco_0079
1923708	31924060270075	juz1 	1954	ua 	1  Ibn Jinnī, Abū al-Fatḥ ʻUthmān, -1002.		13 Munṣif / sharḥ Abī al-Fatḥ ʻUthmān ibn Jinnī al-Naḥwī li-kitāb al-Taṣrīf li-Abī ʻUthmān al-Māzinī al-Naḥwī al-Baṣrī ; bi-taḥqīq Ibrāhim Muṣṭafá, ʻAbd Allāh Amīn.	   Miṣr : Wizārat al-Maʻārif al-ʻUmūmīyah, 1954-1960.	   Includes bibliographical references and indexes.	10 Māzinī, Abū ʻUthmān Bakr ibn Muḥammad, approximately 863. Kitāb al-taṣrīf.| 0 Arabic language Grammar Early works to 1800.	PJ6101.I213 M96	olin,anx				cornell_aco_0080
1923708	31924060302407	juz3 	1954	ua 	1  Ibn Jinnī, Abū al-Fatḥ ʻUthmān, -1002.		13 Munṣif / sharḥ Abī al-Fatḥ ʻUthmān ibn Jinnī al-Naḥwī li-kitāb al-Taṣrīf li-Abī ʻUthmān al-Māzinī al-Naḥwī al-Baṣrī ; bi-taḥqīq Ibrāhim Muṣṭafá, ʻAbd Allāh Amīn.	   Miṣr : Wizārat al-Maʻārif al-ʻUmūmīyah, 1954-1960.	   Includes bibliographical references and indexes.	10 Māzinī, Abū ʻUthmān Bakr ibn Muḥammad, approximately 863. Kitāb al-taṣrīf.| 0 Arabic language Grammar Early works to 1800.	PJ6101.I213 M96	olin,anx				cornell_aco_0081
1924500	31924068906506	 	1944	ua 	1  Fahmī, ʻAbd al-ʻAzīz, 1870-1951.		13 al-Ḥurūf al-Lātīnīyah li-kitābat al-ʻArabīyah / ʻAbd al-ʻAzīz Fahmī.	   al-Qāhirah : Maṭbaʻat Miṣr, Sharikah Musāhamah Miṣrīyah, 1944.		 0 Arabic language Transliteration.| 0 Arabic alphabet Transliteration.| 0 Writing, Arabic.| 0 Arabic language Reform.	PJ6123 .F15	olin,anx				cornell_aco_0084
1927990	31924068871692	 	1956	sy 	1  Blachère, Régis, 1900-1973	10 Histoire de la littérature arabe. Arabic	10 Tārīkh al-adab al-ʻArabī : al-ʻaṣr al-Jāhilī / taʾlīf al-Duktūr Rijis Balāshir ; taʻrīb Ibrāhīm Kīlānī.	   Dimashq : Dār al-Fikr, [1956]	   Translation of: Histoire de la littérature arabe.|   Includes bibliographical references.	 0 Arabic literature To 632 History.	PJ7526 .B62 1956	olin,anx				cornell_aco_0087
1928227	31924068871866	 	1897	ua 	1  Thaʻālibī, ʻAbd al-Malik ibn Muḥammad, 961 or 962-1037 or 1038.		13 al-Iʻjāz wa-al-ījāz / li-Abī Manṣūr al-Thaʻālibī.	   [Cairo : s.n., 1897]		 0 Arabic poetry History and criticism.	PJ7541 .T35	olin,anx				cornell_aco_0089
1932722	31924060270117	 	1964	iq 	1  Jubūrī, Yaḥyá.		13 al-Islām wa-al-shiʻr / Yaḥyá al-Jubūrī.	   Baghdād : Maktabat al-Nahḍah, [1964]	   Includes bibliographical references (p. 131-135) and index.	 0 Arabic poetry History and criticism.	PJ7545 .J91	olin,anx				cornell_aco_0114
1932726	31924060269655	 	1955	le 	1  Sābā, ʻĪsá Mīkhāʾīl.		13 al-Shaykh Ibrāhīm al-Yāzijī, 1847-1906 / bi-qalam ʻĪsá Mīkhāʾī	   Bayrūt : Dār al-Maʻārif, 1955.	   Includes bibliographical references.	10 Yāzijī, Ibrāhīm, 1847-1906.	PJ7874.A14 Z85	olin,anx				cornell_aco_0115
1933368	31924067181887	 	1881	le 	1  Aḥdab, Ibrāhīm, 1826-1891.	10 Ibdāʻ al-ibdāʼ li-fatḥ abwāb al-Bināʼ fī al-taṣrīf	10 Kitāb ibdāʻ al-ibdāʼ li-fatḥ abwāb al-Bināʼ fī al-taṣrīf / li-Ibrāhīm al-Aḥdab.	   Bayrūt : Maṭbaʻat Jamʻīyat al-Funūn, 1299 [1881 or 1882]	   A commentary on the work Bināʼ al-afʻāl by ʻAbd Allāh al-Dunquzī.	 0 Arabic language Inflection.| 0 Arabic language Morphology.|10 Dunquzī, ʻAbd Allāh, active 17th century. Bināʼ al-afʻāl.	PJ6145 .A28	olin,anx				cornell_aco_0118
